serial,tick,ptype,state,v_batt,v_pyro,sense,v_apogee,v_main,ground_pres,ground_accel,accel_plus_g,accel_minus_g,acceleration,speed,height,crc
11047,403.6,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,73.8125,74.875,41,TRUE
11047,403.71,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,75.5,83.5,50,TRUE
11047,403.93,9,3,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,78.0625,101.5625,73,TRUE
11047,404.04,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,79.125,111.375,87,TRUE
11047,404.15,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,80.5,122.5625,106,TRUE
11047,404.26,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,81.5625,133.3125,124,TRUE
11047,404.48,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,81.9375,153.5625,161,TRUE
11047,404.59,9,3,4.09,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,82.5625,163.1875,180,TRUE
11047,404.7,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,82.4375,172.75,200,TRUE
11047,404.81,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97658,-29,-29,10,83.0625,182.75,221,TRUE
11047,404.92,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,83.0625,192.9375,244,TRUE
11047,405.03,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,83.375,203.125,269,TRUE
11047,405.14,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,83.3125,212.75,293,TRUE
11047,405.25,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,82.875,221.75,316,TRUE
11047,405.36,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,82.8125,230.6875,341,TRUE
11047,405.47,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.14,4.2,97658,-29,-29,10,82.125,239.8125,367,TRUE
11047,405.58,9,3,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97658,-29,-29,10,81.5625,248.75,394,TRUE
